,Unnamed: 0.2,Unnamed: 0.1,Industry,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,month13,growth
14,14,14,Construction/Engineering/Cement/Metals,1031.0,1083.0,1089.0,1013.0,1066.0,1138.0,1043.0,1010.0,1056.0,1126.0,1198.0,1178.0,1155.0,12.027158098933075
15,15,15,FMCG/Foods/Beverage,1914.0,1874.0,1800.0,1694.0,1683.0,1683.0,1838.0,1782.0,1942.0,1925.0,2088.0,2016.0,2133.0,11.442006269592477
16,16,16,Shipping/Marine,958.0,985.0,914.0,895.0,949.0,923.0,895.0,861.0,893.0,928.0,1010.0,938.0,1068.0,11.482254697286013
17,17,17,Auto/Auto Ancillary,1195.0,1271.0,1238.0,1193.0,1173.0,1270.0,1188.0,1114.0,1195.0,1158.0,1323.0,1232.0,1294.0,8.284518828451883
18,18,18,Retailing,1534.0,1621.0,1579.0,1438.0,1642.0,1642.0,1535.0,1474.0,1597.0,1506.0,1605.0,1637.0,1625.0,5.932203389830509
19,19,19,Banking/Financial Services/Broking,3721.0,3768.0,3644.0,3261.0,4817.0,4817.0,4014.0,3989.0,3876.0,4341.0,4260.0,3858.0,3890.0,4.541789841440473
20,20,20,Media/Dotcom/Entertainment,455.0,480.0,434.0,426.0,397.0,384.0,385.0,389.0,441.0,386.0,456.0,438.0,426.6666666666667,-6.227106227106223
21,21,21,Pharma/Biotech/Clinical Research,2182.0,2314.0,2176.0,2036.0,2332.0,2332.0,2072.0,2048.0,2161.0,2145.0,2409.0,2286.0,2290.0,4.949587534372136
22,22,22,Legal,5413.0,58951.0,5637.0,5071.0,5263.0,5357.0,6011.0,4825.0,5381.0,4839.0,6389.0,5980.0,5619.0,3.8056530574542764
23,23,23,Medical/Healthcare/Hospital,5948.0,6052.0,5696.0,5500.0,6456.0,6456.0,5957.0,5686.0,5985.0,6150.0,6229.0,6269.0,6095.0,2.4714189643577673
24,24,24,Semiconductors/Electronics,5004.0,5095.0,5371.0,5067.0,5096.0,4865.0,4359.0,4158.0,4769.0,4696.0,5171.0,5016.0,5124.0,2.3980815347721824
25,25,25,IT-Software/Software Services,3392.0,3618.0,3511.0,3187.0,3278.0,2989.0,3302.0,3349.0,3210.0,3233.0,3748.0,3501.0,3456.0,1.8867924528301887
26,26,26,Export/Import,1239.0,1405.0,1181.0,1224.0,1300.0,1204.0,1092.0,1036.0,1285.0,1219.0,1298.0,1281.0,1258.0,1.533494753833737
27,27,27,BPO/ITES/CRM/Transcription,2186.0,2256.0,2163.0,2036.0,2085.0,1952.0,2179.0,2054.0,1872.0,1939.0,2157.0,2264.0,2181.0,-0.22872827081427266
28,28,28,Industrial Products/Heavy Machinery,1560.0,1489.0,1484.0,1377.0,1466.0,1387.0,1352.0,1341.0,1449.0,1416.0,1632.0,1552.0,1557.0,-0.19230769230769232
29,29,29,Real Estate/Property,4020.0,38911.0,3621.0,3427.0,3356.0,3356.0,3430.0,3257.0,3633.0,3744.0,3932.0,3873.0,3798.0,-5.522388059701493
30,30,30,Advertising/PR/MR/Events,4607.0,4556.0,4497.0,4014.0,4458.0,4593.0,4380.0,4477.0,4423.0,4368.0,4819.0,4449.0,4352.0,-5.535055350553505
31,31,31,Education/Teaching/Training,5005.0,5058.0,4993.0,4561.0,4772.0,4772.0,4274.0,4145.0,4614.0,4730.0,4991.0,5146.0,4644.0,-7.212787212787212
32,32,32,Courier/Transportation/Freight,2908.0,3030.0,2975.0,2777.0,2961.0,2661.0,2500.0,2238.0,2475.0,2425.0,2663.0,2700.0,2431.0,-16.403026134800548
33,33,33,Agriculture/Dairy,1463.0,1390.0,1308.0,1260.0,1260.0,1427.0,1219.0,1012.0,1087.0,1168.0,1224.0,1080.0,1210.0,-17.293233082706767
34,34,34,Telecom/ISP,571.0,645.0,528.0,459.0,547.0,579.0,472.0,474.0,458.0,428.0,510.0,441.0,458.0,-19.78984238178634
35,35,35,IT-Hardware & Networking,749.0,733.0,680.0,581.0,636.0,657.0,551.0,492.0,493.0,566.0,640.0,564.0,552.0,-26.301735647530037
36,36,36,Security/Law Enforcement,2027.0,1804.0,1862.0,1784.0,1563.0,1662.0,1434.0,1389.0,1438.0,1250.0,1406.0,1601.0,1406.0,-30.63640848544647
37,37,37,Recruitment/Employment Firm,2995.0,2411.0,2110.0,2505.333333333333,1151.0,896.0,648.0,662.0,685.0,675.0,772.0,724.0,723.6666666666666,-75.83750695603784
